reaction_name	minFlux_mut	maxFlux_mut	minFlux_wt	maxFlux_wt	distinct_rxn_bool
1,6-beta-glucan synthase	0.118842453601204	0.127702191542406	0.208449972547161	0.223989976766359	1
4-hydroxybenzoate formation	0	0	0	0	0
8-amino-7-oxononanoate synthase	0	0	0	0	0
acetyl-CoA ACP transacylase	0	1000	0	1000	0
Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)	0	0	0	0	0
geranylgeranyltranstransferase	0	0	0	0	0
glucosamine-6-phosphate deaminase	0	35.4411290449207	0	40.0405865126103	0
glutathione peroxidase, mitochondria	0	1000	0	1000	0
glycine C-acetyltransferase	0	0	0	0	0
L-tyrosine N-formyltransferase	0	1.12915377729936	0	1.27569241512625	0
ribonucleoside-triphosphate reductase (ATP)	0	0.000358682398787606	0	0.000600316831251726	0
ribonucleoside-triphosphate reductase (CTP)	0	0.686242725152718	0	0.775509308816936	0
ribonucleoside-triphosphate reductase (GTP)	0	0.000239110272290251	0	0.00040019297465264	0
ribonucleoside-triphosphate reductase (UTP)	0	0.998375438785672	0	1.12824430495751	0
spontaneous cis-aconitate(3-) to trans-aconitate	0	1000	0	1000	0
spontaneous cis-aconitate(3-) to trans-aconitate	0	1000	0	1000	0
spontaneous kynurenic acid to quinaldic acid	0	0	0	0	0
spontaneous 2-amino-3-carboxymuconate-6-semialdehyde to quinolinate	0	0.00162536649597333	0	0.00224595816265853	0
fatty-acid--CoA ligase (behenate), ER membrane	0	1000	0	1000	0
fatty-acid--CoA ligase (lignoceric acid), ER membrane	0	1000	0	1000	0
fatty-acid--CoA ligase (cerotic acid), ER membrane	0	1000	0	1000	0
fatty-acid--CoA ligase (behenate), lipid particle	0	1000	0	1000	0
fatty-acid--CoA ligase (lignoceric acid), lipid particle	0	1000	0	1000	0
fatty-acid--CoA ligase (cerotic acid), lipid particle	0	1000	0	1000	0
taurcholate via ABC system	0	0	0	0	0
(R)-mevalonate transport	0	1000	0	999.840251546754	0
(R,R)-butanediol transport	0	1000	0	1000	0
2-methylbutyl transport	0	11.8880230807922	0	13.4303658546873	0
2-oxoadipate and 2-oxoglutarate transport	0	1000	0	1000	0
3-hexaprenyl-4,5-dihydroxybenzoate transport	0	1000	0	1000	0
4-aminobutyrate transport	0	0	0	0	0
5-aminolevulinate transport	0	0	0	0	0
5-formyltetrahydrofolic acid transport	0	1000	0	1000	0
8-Amino-7-oxononanoate transport	0	1000	0	1000	0
acetate transport	0	1000	0	1000	0
acetic ester transport	0	15.2072869735776	0	18.6093892720589	0
adenine transport	0	4.08356167038411	0	4.60749148813977	0
adenosine transport	0	0	0	0	0
ADP/ATP transporter	0	1000	0	1000	0
ADP/ATP transporter	0	0	0	0	0
AKG transporter, mitochonrial	0	1000	0	1000	0
allantoate uniport	0	0	0	0	0
allantoin uniport	0	0	0	0	0
ammonia transport	0	1000	0	1000	0
AMP/ATP transporter	0	0.01014563961938	0	0.0114623150750646	0
aspartate-glutamate transporter	0	50.4105510305086	0	59.0448473563512	0
biotin uptake	0	0	0	0	0
carnithine-acetylcarnithine carrier	0	8.67598798005311	0	9.56959853967095	0
ceramide-2' (sphinganine:n-C24:0OH) transport	0	1000	0	1000	0
ceramide-2' (sphinganine:n-C26:0OH) transport	0	1000	0	1000	0
ceramide-3 (Phytosphingosine:n-C24:0OH) transport	0	1000	0	1000	0
ceramide-3 (Phytosphingosine:n-C26:0OH) transport	0	1000	0	1000	0
choline transport	0	133.068318662396	0	143.368176914052	0
citrate transport	0	1000	0	1000	0
citrate transport	0	1000	0	1000	0
citrate transport	0	1000	0	1000	0
coenzyme A transport	0	0.621638853452334	0	0.599014237228178	0
CTP transport	0	0.633602355770426	0	0.715535198798908	0
CTP/CMP antiport	0	0.623755879297459	0	0.704352038888509	0
cytidine transport	0	0	0	0	0
cytosine transport	0	0	0	0	0
D-fructose transport	0	0	0	0	0
D-galactose transport	0	0	0	0	0
D-lactate transport	0	1000	0	1000	0
D-lactate transport	0	5.85380651054899	0	6.43775461993787	0
D-lactate/pyruvate antiport	0	1000	0	1000	0
D-mannose transport	0	0	0	0	0
episterol transport	0	1000	0	1000	0
ergosterol transport	0	1000	0	1000	0
ergosterol transport	0	1000	0	1000	0
ethanolamine transport	0	1000	0	1000	0
fadH2 transport	0	2.60311939778713e-06	0	3.6037997679863e-06	0
fecosterol transport	0	1000	0	1000	0
fecosterol transport	0	1000	0	1000	0
folic acid transport	0	1000	0	1000	0
GDP-mannose antiport	0	11.5653045625942	0	13.0662196821314	0
glucose transport	6.78399434740054	31.5635357910129	10.0256956800005	38.8913377787224	0
glutathione transport	0	0	0	0	0
glycero-3-phospho-1-inositol transport	0	1000	0	1000	0
glycero-3-phosphocholine transport	0	1000	0	1000	0
glycerol transport	0	133.068318662511	0	143.368176913919	0
glycerol transport via channel	0	133.068318662327	0	143.368176913843	0
glycine transport	0	1000	0	1000	0
glycogen vacuolar 'transport' via autophagy	0	4.68476313496889	0	5.29273949933319	0
GTP/GDP translocase	0	2.69942044467709	0	2.9766031914623	0
guanine transport	0	1000	0	1000	0
inositol transport	0	0.0203683996854797	0	0.0231106726905563	0
iron (II) transport	0	0	0	0	0
isoamyl acetate transport	0	3.07142037148715	0	3.46949279110905	0
isobutyl acetate transport	0	11.9124028414863	0	13.4579740896912	0
isopentenyl diphosphate transport	0	1000	0	1000	0
L-alanine transport	0	1000	0	1000	0
L-arganine transport	0	1000	0	1000	0
L-arganine transport	0	1000	0	1000	0
L-asparagine transport	0	1000	0	1000	0
L-asparagine transport	0	566.066161425945	0	571.473077468464	0
L-aspartate transport	0	566.066161426004	0	571.473077468436	0
L-aspartate transport	0	0	0	0	0
L-aspartate transport	0	1000	0	1000	0
L-carnitine transport	0	1000	0	1000	0
L-cystine transport	0	1000	0	1000	0
L-cystine transport	0	0	0	0	0
L-glutamate transport	0	5.61335776043322	0	6.19669880013657	0
L-glutamate transport	0	0	0	0	0
L-glutamate transport	0	1000	0	1000	0
L-glutamine transport	0	566.066161425862	0	571.473077468469	0
L-glutamine transport	0	566.066161426033	0	571.473077468499	0
L-glutamine transport	0	1000	0	1000	0
L-histidine transport, vacuolar	0	1000	0	1000	0
L-histidine transport	0	1000	0	1000	0
L-isoleucine transport	0	1000	0	1000	0
L-isoleucine transport	0	1000	0	1000	0
L-isoleucine transport	0	1000	0	1000	0
L-isoleucine transport	0	1000	0	1000	0
L-lactate transport	0	1000	0	1000	0
L-lactate transport	0	0	0	0	0
L-leucine transport, vacuoluar	0	1000	0	1000	0
L-leucine transport, vacuoluar	0	1000	0	1000	0
L-leucine transport, vacuoluar	0	1000	0	1000	0
L-leucine transport	0	1000	0	1000	0
L-lysine transport	0	1000	0	1000	0
L-lysine transport	0	1000	0	1000	0
L-methionine transport	0	1000	0	1000	0
L-phenylalanine transport	0	1000	0	1000	0
L-proline transport	0	1000	0	1000	0
L-serine transport	0	1000	0	1000	0
L-threonine transport	0	1000	0	1000	0
L-tryptophan transport	0	1000	0	1000	0
L-tyrosine transport	0	1000	0	1000	0
L-tyrosine transport	0	1000	0	1000	0
L-tyrosine transport	0	1000	0	1000	0
L-tyrosine transport	0	1000	0	1000	0
L-valine transport	0	1000	0	1000	0
lanosterol transport	0	999.968567284921	0	1000	0
malate transport	0	5.69220641635479	0	6.28374142110234	0
maltose transport	0	0	0	0	0
N,N'-diformyldityrosine transport	0	0.564576888648931	0	0.637846207563141	0
NAD transport	0	0	0	0	0
NAD transport	0	0	0	0	0
NAD transport	0	0	0	0	0
NAD transport	0	0	0	0	0
nicotinate transport	0	1000	0	1000	0
octadecanoate (n-C18:0) transport	0	1000	0	1000	0
ornithine transport	0	0.424991584618756	0	0.538067127125487	0
orntithine transport	0	1000	0	1000	0
oxaloacetate transport	0	5.82781691376767	0	6.45348657407583	0
pantothenate transport	0	1000	0	1000	0
pentaprenyl diphosphate transport	0	1000	0	1000	0
phenethyl acetate transport	0	17.1755688524889	0	21.5490560120772	0
phosphate transport	0.0885190761630126	1000	0.0877412678888732	1000	0
phosphate transport	0	11.1749119998906	0	12.7584256795105	0
potassium transport	0.000904571483529657	1000	0.00124995332269553	1000	0
putrescine transport	0	1000	0	1000	0
putrescine transport	0	1000	0	1000	0
pyridoxine symport	0	1000	0	1000	0
pyruvate transport	0	1000	0	1000	0
S-adenosyl-L-methionine transport	0	0	0	0	0
S-adenosyl-L-methionine transport	0	1000	0	1000	0
S-methylmethionine permease	0	0	0	0	0
sodium proton antiporter	0	999.999010702813	0	999.99863297116	0
spermidine transport	0	1000	0	1000	0
spermidine transport	0	1000	0	1000	0
spermine transport	0	1000	0	1000	0
spermine transport	0	1000	0	1000	0
succinate transport	0	3.12854558683873	0	3.45366456109532	0
succinate-fumarate transport	0	6.4624811040249	0	7.21942062997866	0
sulfate uniport	0	0.892343281207578	0	0.579200860391811	0
sulfite transport	0	0.887359416284348	0	0.572992954042999	0
taurine transport	0	1000	0	1000	0
thiamine diphosphate transport	0	0	0	0	0
thiamine transport	0	0	0	0	0
UDPgalactose transport	0	0	0	0	0
uracil transport	0	1.77440614655382	0	1.99728321448436	0
urea transport	0	1000	0	1000	0
uridine transport	0	0	0	0	0
UTP transport	0	0	0	0	0
UTP/UMP antiport	0	0	0	0	0
water diffusion	0	1000	0	1000	0
zymosterol transport	0	1000	0	1000	0
arginine transport	0	0	0	0	0
pyruvate transport	0	5.85380651053377	0	6.4377546007996	0
trehalose transporter	0	1000	0	1000	0
oxoglutarate/malate exchange	0	1000	0	1000	0
fatty acyl-CoA transport via ABC system (C12:0)	0	0.0108319339715391	0	0.0110211852801678	0
fatty acyl-CoA transport via ABC system (C14:0)	0	0.0108869756761809	0	0.0123652457144345	0
fatty acyl-CoA transport via ABC system (C16:0)	0	0.0750859145965787	0	0.0848314144069175	0
fatty acyl-CoA transport via ABC system (C16:1)	0	0.0609692003070365	0	0.0689431211616792	0
fatty acyl-CoA transport via ABC system (C18:0)	0	0.0640056840114964	0	0.0723130617438642	0
fatty acyl-CoA transport via ABC system (C18:1)	0	0.0499637631458748	0	0.0567271390485659	0
fatty acyl-CoA transport via ABC system (C20:0)	0	0.021590282996847	0	0.00707407852152071	0
fatty acyl-CoA transport via ABC system (C22:0)	0	0.0129842736746548	0	0.00353703926075547	0
fatty acyl-CoA transport via ABC system (C24:0)	0	0.00928360446699786	0	0.00235802607024785	0
fatty acyl-CoA transport via ABC system (C26:0)	0	0.00722452944173293	0	0.00176851929287042	0
inositol-P-ceramide B' (C24) [Golgi] SLIME rxn	0	0	0	0	0
inositol-P-ceramide B' (C26) [Golgi] SLIME rxn	0	0	0	0	0
inositol-P-ceramide C (C24) [Golgi] SLIME rxn	0	0	0	0	0
inositol-P-ceramide C (C26) [Golgi] SLIME rxn	0	0	0	0	0
inositol-P-ceramide A (C24) [Golgi] SLIME rxn	0	0	0	0	0
inositol-P-ceramide A (C26) [Golgi] SLIME rxn	0	0	0	0	0
inositol-P-ceramide B (C24) [Golgi] SLIME rxn	0	0	0	0	0
inositol-P-ceramide B (C26) [Golgi] SLIME rxn	0	0	0	0	0
inositol-P-ceramide D (C24) [Golgi] SLIME rxn	0	0	0	0	0
inositol-P-ceramide D (C26) [Golgi] SLIME rxn	0	0	0	0	0
inositol phosphomannosylinositol phosphoceramide A (C24) [Golgi] SLIME rxn	0	0	0	0	0
inositol phosphomannosylinositol phosphoceramide A (C26) [Golgi] SLIME rxn	0	0	0	0	0
inositol phosphomannosylinositol phosphoceramide B' (C24) [Golgi] SLIME rxn	0	0	0	0	0
inositol phosphomannosylinositol phosphoceramide B' (C26) [Golgi] SLIME rxn	0	0	0	0	0
inositol phosphomannosylinositol phosphoceramide B (C24) [Golgi] SLIME rxn	0	0	0	0	0
inositol phosphomannosylinositol phosphoceramide B (C26) [Golgi] SLIME rxn	0	0	0	0	0
inositol phosphomannosylinositol phosphoceramide C (C24) [Golgi] SLIME rxn	0	0	0	0	0
inositol phosphomannosylinositol phosphoceramide C (C26) [Golgi] SLIME rxn	0	0	0	0	0
inositol phosphomannosylinositol phosphoceramide D (C24) [Golgi] SLIME rxn	0	0	0	0	0
inositol phosphomannosylinositol phosphoceramide D (C26) [Golgi] SLIME rxn	0	0	0	0	0
mannosylinositol phosphorylceramide B' (C24) [Golgi] SLIME rxn	0	0	0	0	0
mannosylinositol phosphorylceramide B' (C26) [Golgi] SLIME rxn	0	0	0	0	0
mannosylinositol phosphorylceramide C (C24) [Golgi] SLIME rxn	0	0	0	0	0
mannosylinositol phosphorylceramide C (C26) [Golgi] SLIME rxn	0	0	0	0	0
mannosylinositol phosphorylceramide A (C24) [Golgi] SLIME rxn	0	0	0	0	0
mannosylinositol phosphorylceramide A (C26) [Golgi] SLIME rxn	0	0	0	0	0
mannosylinositol phosphorylceramide B (C24) [Golgi] SLIME rxn	0	0	0	0	0
mannosylinositol phosphorylceramide B (C26) [Golgi] SLIME rxn	0	0	0	0	0
mannosylinositol phosphorylceramide D (C24) [Golgi] SLIME rxn	0	0	0	0	0
mannosylinositol phosphorylceramide D (C26) [Golgi] SLIME rxn	0	0	0	0	0
1-phosphatidyl-1D-myo-inositol (1-16:0, 2-16:1) [cytoplasm] SLIME rxn	0	0.00423861992409494	0	0.0048853612359322	0
1-phosphatidyl-1D-myo-inositol (1-16:1, 2-16:1) [cytoplasm] SLIME rxn	0	0.00424921444934541	0	0.00489756565038586	0
1-phosphatidyl-1D-myo-inositol (1-18:0, 2-16:1) [cytoplasm] SLIME rxn	0	0.00395040438296496	0	0.00455646014807695	0
1-phosphatidyl-1D-myo-inositol (1-18:1, 2-16:1) [cytoplasm] SLIME rxn	0	0.00410360962794665	0	0.00473303764596819	0
1-phosphatidyl-1D-myo-inositol (1-16:0, 2-18:1) [cytoplasm] SLIME rxn	0	0.00409368644379681	0	0.00472163883705094	0
1-phosphatidyl-1D-myo-inositol (1-16:1, 2-18:1) [cytoplasm] SLIME rxn	0	0.00410360928169488	0	0.00473303738337659	0
1-phosphatidyl-1D-myo-inositol (1-18:0, 2-18:1) [cytoplasm] SLIME rxn	0	0.00394771247690339	0	0.00455646177036126	0
1-phosphatidyl-1D-myo-inositol (1-18:1, 2-18:1) [cytoplasm] SLIME rxn	0	0.00396759487963506	0	0.00457920055103506	0
ergosteryl palmitoleate [endoplasmic reticulum membrane] SLIME rxn	0	0.00533498034177231	0	0.00611625154955848	0
ergosteryl oleate [endoplasmic reticulum membrane] SLIME rxn	0	0.00510491897426323	0	0.00588803961865285	0
palmitate [cytoplasm] SLIME rxn	0	0.00287545321551991	0	0.00331435523894525	0
palmitoleate [cytoplasm] SLIME rxn	0	0.0028984872421884	0	0.00334072732020296	0
stearate [cytoplasm] SLIME rxn	0	0.00258805387202868	0	0.00298633982480944	0
oleate [cytoplasm] SLIME rxn	0	0.00260679122146999	0	0.00300773376193505	0
phosphatidyl-L-serine (1-16:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00402336831289451	0	0.00463728427241858	0
phosphatidyl-L-serine (1-16:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00403450067645426	0	0.00465006107779275	0
phosphatidyl-L-serine (1-18:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00387214593970242	0	0.00446656975370513	0
phosphatidyl-L-serine (1-18:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00388262900479277	0	0.00447841356991215	0
phosphatidyl-L-serine (1-16:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00387231566931994	0	0.0044665656585089	0
phosphatidyl-L-serine (1-16:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00388264152869897	0	0.00447841339307103	0
phosphatidyl-L-serine (1-18:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.0037319623388092	0	0.00430796671836177	0
phosphatidyl-L-serine (1-18:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00374166419364313	0	0.00431899272999003	0
phosphatidylcholine (1-16:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.0156322698494085	0	0.0180352443651805	0
phosphatidylcholine (1-16:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.0174826659725284	0	0.0202002517899649	0
phosphatidylcholine (1-18:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00395325905828706	0	0.00455644641705643	0
phosphatidylcholine (1-18:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.0105301497103173	0	0.012112098094913	0
phosphatidylcholine (1-16:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.0139522620236481	0	0.0160275683474892	0
phosphatidylcholine (1-16:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.0138620614176177	0	0.0159269119401824	0
phosphatidylcholine (1-18:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00395326267523628	0	0.00455644264098825	0
phosphatidylcholine (1-18:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00760013395059472	0	0.00872961943637172	0
phosphatidylethanolamine (1-16:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00498284519347864	0	0.00574404258147514	0
phosphatidylethanolamine (1-16:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00499720729904119	0	0.0057610749324184	0
phosphatidylethanolamine (1-18:0, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00395291777127838	0	0.00455456555751688	0
phosphatidylethanolamine (1-18:1, 2-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00480201144310479	0	0.00553273375780645	0
phosphatidylethanolamine (1-16:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00478876112972639	0	0.00551702005575916	0
phosphatidylethanolamine (1-16:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00480201184388586	0	0.00553273428794053	0
phosphatidylethanolamine (1-18:0, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00395328957150904	0	0.00455278836444532	0
phosphatidylethanolamine (1-18:1, 2-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00462148062667067	0	0.00532174944946703	0
triglyceride (1-16:0, 2-16:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn	0	0.00422478146487509	0	0.00487007557101617	0
triglyceride (1-16:0, 2-18:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn	0	0.00407728429674665	0	0.00470613069990368	0
triglyceride (1-16:1, 2-16:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn	0	0.00423577989260841	0	0.00488229685756751	0
triglyceride (1-16:1, 2-18:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn	0	0.00408754488987274	0	0.00471754002528917	0
triglyceride (1-18:0, 2-16:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn	0	0.00394779123018954	0	0.0045564533214527	0
triglyceride (1-18:0, 2-18:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn	0	0.00393935068785421	0	0.00455285547795671	0
triglyceride (1-18:1, 2-16:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn	0	0.00408754476929109	0	0.00471753521481781	0
triglyceride (1-18:1, 2-18:1, 3-16:0) [endoplasmic reticulum membrane] SLIME rxn	0	0.00394892407084751	0	0.00456353201649021	0
triglyceride (1-16:0, 2-16:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00423577622489826	0	0.00488229702847936	0
triglyceride (1-16:0, 2-18:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00408754594715524	0	0.00471753442816616	0
triglyceride (1-16:1, 2-16:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00424664774559369	0	0.00489457966605023	0
triglyceride (1-16:1, 2-18:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00409765103104995	0	0.00472900740824638	0
triglyceride (1-18:0, 2-16:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00394795967159579	0	0.00455645529163535	0
triglyceride (1-18:0, 2-18:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00394266827660331	0	0.00455644518865395	0
triglyceride (1-18:1, 2-16:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00409765557545918	0	0.00472885214327402	0
triglyceride (1-18:1, 2-18:1, 3-16:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00395840948928555	0	0.00457426443925275	0
triglyceride (1-16:0, 2-16:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	0	0.00394778730686422	0	0.0045564541463391	0
triglyceride (1-16:0, 2-18:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	0	0.00393935041125125	0	0.00455285188772967	0
triglyceride (1-16:1, 2-16:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	0	0.00394795656312588	0	0.00455645831620858	0
triglyceride (1-16:1, 2-18:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	0	0.00394266795278342	0	0.00455644551953808	0
triglyceride (1-18:0, 2-16:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	0	0.00197396188753656	0	0.00227823240345387	0
triglyceride (1-18:0, 2-18:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	0	0.00197269856634116	0	0.00227822939725148	0
triglyceride (1-18:1, 2-16:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	0	0.00394266501497234	0	0.00455644522695205	0
triglyceride (1-18:1, 2-18:1, 3-18:0) [endoplasmic reticulum membrane] SLIME rxn	0	0.00304027762419644	0	0.00349657237024359	0
triglyceride (1-16:0, 2-16:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00408754862356039	0	0.00471753556288775	0
triglyceride (1-16:0, 2-18:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00394892412614933	0	0.00456353575938262	0
triglyceride (1-16:1, 2-16:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00409765186060518	0	0.00472900346838385	0
triglyceride (1-16:1, 2-18:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00395841299094131	0	0.00457426504983021	0
triglyceride (1-18:0, 2-16:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00394266822383476	0	0.00455644102766626	0
triglyceride (1-18:0, 2-18:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00304027715519199	0	0.00349657241879679	0
triglyceride (1-18:1, 2-16:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.003958409150367	0	0.0045742665315738	0
triglyceride (1-18:1, 2-18:1, 3-18:1) [endoplasmic reticulum membrane] SLIME rxn	0	0.00306900380140061	0	0.00352946940062198	0
(1->3)-beta-D-glucan exchange	0	0	0	0	0
(1->3)-beta-D-glucan transport	0	1000	0	1000	0
(R)-carnitine exchange	0	0	0	0	0
(R)-lactate exchange	0	9.8481009073332	0	11.1261618068363	0
(R)-mevalonate exchange	0	0.205321710084377	0.159748453248126	0.355003397881858	0
(R)-pantothenate exchange	0	1000	0	1000	0
(R,R)-2,3-butanediol exchange	0	24.1401551646811	0	27.8149013285414	0
(S)-3-methyl-2-oxopentanoate exchange	0	64.0086900663924	0	74.1986646085064	0
(S)-lactate exchange	0	0	0	0	0
(S)-malate exchange	0	50.19474783238	0	60.0657815787139	0
1-(sn-glycero-3-phospho)-1D-myo-inositol exchange	0	0.0164150528831897	0	0.0185528784777536	0
1-acylglycerophosphocholine exchange	0	0	0	0	0
1D-myo-inositol 1,3,4,5,6-pentakisphosphate diffusion	0	1000	0	1000	0
1D-myo-inositol 1-phosphate transport	0	1000	0	1000	0
2'-deoxyadenosine exchange	0	0	0	0	0
2'-deoxyguanosine exchange	0	0	0	0	0
2'-deoxyinosine exchange	0	0	0	0	0
2'-deoxyuridine exchange	0	0	0	0	0
2-dehydro-3-deoxy-D-arabino-heptonate7-phohsphate transport	0	1000	0	1000	0
2-dehydropantoate transport	0	1000	0	1000	0
2-isopropylmalate exchange	0	4.39033469942531	0	4.8681090763954	0
2-isopropylmalate transport	0	1000	0	1000	0
2-isopropylmalate transport	0	1000	0	1000	0
2-methyl-1-butanol transport	0	1000	0	1000	0
2-methyl-1-butanol transport	0	1000	0	1000	0
2-methylbutanal exchange	0	23.3229244673316	0	26.3497128914258	0
2-methylbutanal transport	0	1000	0	1000	0
2-methylbutanal transport	0	1000	0	1000	0
2-methylbutanol exchange	0	28.4836131776733	0	34.3003203512973	0
2-methylbutyl acetate exchange	0	11.8880230807922	0	13.4303658546873	0
2-methylpropanal transport	0	1000	0	1000	0
2-methylpropanal transport	0	1000	0	1000	0
2-oxobutanoate transporter	0	1000	0	1000	0
2-oxoglutarate exchange	0	69.3451671664411	0	80.1123273818808	0
2-oxoglutarate transport	0	1000	0	1000	0
2-oxoglutarate transport	0	1000	0	1000	0
2-phenylethanol exchange	0	52.4070221707832	0	64.713141783315	0
2-phenylethanol transport	0	1000	0	1000	0
2-phenylethanol transport	0	1000	0	1000	0
3-carboxy-4-methyl-2-oxopentanoate transport	0	1000	0	1000	0
3-methyl-2-oxopentanoate transport	0	1000	0	1000	0
3-methyl-oxopentanoate trasport	0	1000	0	1000	0
3-methylbutanal exchange	0	3.5158444105288	0	3.972121545802	0
3-methylbutanal transport	0	1000	0	1000	0
3-methylbutanal transport	0	1000	0	1000	0
3-octaprenyl-4-hydroxybenzoate transport	0	1000	0	1000	0
4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase	0	0	0	0	0
4-aminobenzoate exchange	0	1000	0	1000	0
4-aminobenzoate transport	0	1000	0	1000	0
4-aminobenzoate transport	1.57988518067516e-05	1000	2.18311407135145e-05	1000	0
4-aminobutanal transport	0	1000	0	1000	0
4-aminobutyrate transport	0	1000	0	1000	0
4-hydroxy-2-oxoglutarate transport	0	1000	0	1000	0
4-hydroxy-2-oxoglutarate transport	0	1000	0	1000	0
4-hydroxybenzoate transport	0	1000	0	1000	0
5'-nucleotidase (AMP)	0	7.158193608033	0	8.17256626550683	0
5'-nucleotidase (dAMP)	0	0	0	0	0
5'-nucleotidase (dCMP)	0	3.7887227590637	0	4.28041333600375	0
5'-nucleotidase (dGMP)	0	0	0	0	0
5'-nucleotidase (dTMP)	0	11.8813556213559	0	13.4232870247118	0
